新老品标签,上架时间,SPU,首图 url,shop_name,三级类目,叶子类目,内容场占比,直播占比,US占比,UK占比,可用库存,销量排名,是否在联盟,商品详情页URL,大码参考价
新老品,2026-01-12,S251231050565,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/ef1f7fc82c40443e88bef0e1e51fbd3f~tplv-o3syd03w52-resize-jpeg:200:200.image?,SJQ Women's Clothing,女士连衣裙,连衣裙,73.3,6.3,50.0,3.9,,1,,https://shop.tiktok.com/view/product/1732187881328251637?region=US&locale=en,45.6
新老品,2024-08-19,S240807008577,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/c47ebc1b74834939962c1847337f2888~tplv-o3syd03w52-resize-jpeg:200:200.image?,Feimeng clothing,女士连衣裙,连衣裙,82.2,9.2,84.7,12.2,,2,,https://shop.tiktok.com/view/product/1729595068919418943?region=US&locale=en,26.9
新老品,2024-12-18,S241205008501,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/da7e88d1945f4a4381dfef83ead9db21~tplv-o3syd03w52-resize-jpeg:200:200.image?,Chic Unique Designs,女士下装,短裤,78.6,0.1,4.1,85.3,,3,,https://shop.tiktok.com/view/product/1730296702011019331?region=US&locale=en,21.5
新老品,2026-05-13,S260508026117,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/db3d18110c7a4dc8b18a36ed8d042ab3~tplv-o3syd03w52-resize-jpeg:200:200.image?,Soft Frame,女士套装及西服,短裤套装,65.5,1.3,63.3,33.9,,4,,https://shop.tiktok.com/view/product/1732390143910580334?region=US&locale=en,74.4
新老品,2024-06-11,S240527003034,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/b25542cd38984e75b585a2025ce9f4cb~tplv-o3syd03w52-resize-jpeg:200:200.image?,Vanndochic,连体衣,连体裤,70.6,0.1,3.6,78.3,,5,,https://shop.tiktok.com/view/product/1729495080430899817?region=US&locale=en,40.2
新老品,2025-12-01,S251128046077,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/dc53668765b34abaadd18adbf1ae44c9~tplv-o3syd03w52-resize-jpeg:200:200.image?,ChicVibe Fashion,女士套装及西服,半裙套装,79.2,3.4,92.2,3.7,,6,,https://shop.tiktok.com/view/product/1732098338295485006?region=US&locale=en,33.1
新老品,2025-04-22,S250414010816,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/deb1b3206abb4693a9e634a934c51720~tplv-o3syd03w52-resize-jpeg:200:200.image?,PAOLA RIBONI,牛仔,牛仔夹克与外套,81.5,8.6,70.7,28.7,,7,,https://shop.tiktok.com/view/product/1731073261249925368?region=US&locale=en,132.9
新老品,2025-07-08,S250616014603,https://p16-oec-va.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/e28020ab097c4cdfbaf7e0daaa4fa787~tplv-o3syd03w52-resize-jpeg:200:200.image?,Sylure,女士套装及西服,长裤套装,74.6,4.5,76.8,14.3,,8,,https://shop.tiktok.com/view/product/1731425592130637993?region=US&locale=en,47.3
新老品,2026-03-24,S260312021243,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/4a9dea752c43440db2a9704031671b81~tplv-o3syd03w52-resize-jpeg:200:200.image?,Novelife,女士套装及西服,短裤套装,68.9,0.0,71.1,27.6,,9,,https://shop.tiktok.com/view/product/1732286763402563671?region=US&locale=en,54.6
新老品,2026-06-14,S260612016600,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/00cc2c8aaf0c4f6988ed7a73849ad02b~tplv-o3syd03w52-resize-jpeg:200:200.image?,XGGJ Women's Clothing,女士套装及西服,短裤套装,89.9,80.8,84.2,0.9,,10,,https://shop.tiktok.com/view/product/1732444257895026726?region=US&locale=en,45.6
新老品,2026-05-06,S260506027967,https://p16-oec-va.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/14a6633d7c6a4e71b979487a59a4731c~tplv-o3syd03w52-resize-jpeg:200:200.image?,Qianyun Clothing,女士套装及西服,长裤套装,75.4,21.1,26.5,55.9,,11,,https://shop.tiktok.com/view/product/1732387028549603513?region=US&locale=en,58.8
新老品,2025-04-27,S250418017608,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/84f39e8db0c14dc39283a97128be22c3~tplv-o3syd03w52-resize-jpeg:200:200.image?,NovaMode.,女士下装,长裤,86.9,71.5,1.3,1.8,,12,,https://shop.tiktok.com/view/product/1731093922834256103?region=US&locale=en,51.8
新老品,2024-07-02,S240625005722,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/8eda2588c19f4420a4db6edb8167ffaf~tplv-o3syd03w52-resize-jpeg:200:200.image?,Vanndochic,连体衣,连体裤,78.5,5.4,35.5,24.8,,13,,https://shop.tiktok.com/view/product/1729538124155753065?region=US&locale=en,48.0
新老品,2025-05-23,S250517011022,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/c9658d28f3ad4bf0aeb22e4942c7cddf~tplv-o3syd03w52-resize-jpeg:200:200.image?,MIXIFashion,女士套装及西服,半裙套装,62.1,2.9,59.3,38.5,,14,,https://shop.tiktok.com/view/product/1731210981194699450?region=US&locale=en,52.1
