新老品标签,国家,PID,SPU,shop_name,二级类目,三级类目,店铺评分,首图 url,上架时间,商品卡日均占比,GPM分层,可用库存,销量排名,是否在联盟,商品详情页URL,营销价,,,
近7天新品,US,1732443820375184016,S260615030643,LILI.AN.SHOP,大码女装,女士连衣裙,4.1,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/1890526d6724453394a1e83716ad2c13~tplv-g9dfdl17fc-origin-image.image,2026/6/25,内容场占比低,,6,1,,https://shop.tiktok.com/view/product/1732443820375184016?region=US&locale=en,13.27,,,
近7天新品,US,1732458967846261562,S260625021858,MISSMAY Store,大码女装,女士连衣裙,2.5,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/0a052b8a64c7418695dca1607ac008e4~tplv-g9dfdl17fc-origin-image.image,2026/6/25,内容场占比低,高GPM,10,2,,https://shop.tiktok.com/view/product/1732458967846261562?region=US&locale=en,74.88,,,
近7天新品,US,1732436878187664016,S260610009864,LILI.AN.SHOP,大码女装,女士连衣裙,4.1,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/77da286ec385492888d87fd229a3a3cc~tplv-g9dfdl17fc-origin-image.image,2026/6/25,内容场占比低,,5,3,,https://shop.tiktok.com/view/product/1732436878187664016?region=US&locale=en,24.09,,,
近7天新品,US,1732464723495391427,S260629016140,XXINGWANG,大码女装,女士下装,3.5,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/dd7d69e74e4c45109f1832fff8c9101b~tplv-g9dfdl17fc-origin-image.image,2026/6/29,内容场占比低,高GPM,5008,4,,https://shop.tiktok.com/view/product/1732464723495391427?region=US&locale=en,7.78,,,
近7天新品,US,1732453720701047276,S260622006079,ShuBE shop,大码女装,女士连衣裙,3.3,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/5c7d850d7a1646198c64bb1f0eb69cb4~tplv-g9dfdl17fc-origin-image.image,2026/6/25,内容场占比低,高GPM,8,5,,https://shop.tiktok.com/view/product/1732453720701047276?region=US&locale=en,18.8,,,
近7天新品,US,1732459353734680877,S260625037776,Classic & Elegant,大码女装,女士上装,4.1,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/4488d28022dc485db48b88c6506e4a8b~tplv-g9dfdl17fc-origin-image.image,2026/6/25,内容场占比低,,186,6,,https://shop.tiktok.com/view/product/1732459353734680877?region=US&locale=en,13.16,,,
近7天新品,US,1732443781215851152,S260615030035,LILI.AN.SHOP,大码女装,女士连衣裙,4.1,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/495cfbce87cf4e69b1e514881cdca417~tplv-g9dfdl17fc-origin-image.image,2026/6/27,内容场占比低,,,7,,https://shop.tiktok.com/view/product/1732443781215851152?region=US&locale=en,9.87,,,
近7天新品,US,1732444561414132109,S260616003845,Rusttydustty Curve,大码女装,女士连衣裙,4.7,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/2296bd8ae6ee4800877a4cf1b397b871~tplv-g9dfdl17fc-origin-image.image,2026/6/25,内容场占比低,,15,8,,https://shop.tiktok.com/view/product/1732444561414132109?region=US&locale=en,12.77,,,
近7天新品,US,1732459994634031669,S260626002628,Finjani Plus Dress,大码女装,女士连衣裙,2.7,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/f8e08c5d1b87441f9a49944cba1ae49f~tplv-g9dfdl17fc-origin-image.image,2026/6/26,内容场占比低,高GPM,135,9,,https://shop.tiktok.com/view/product/1732459994634031669?region=US&locale=en,16.29,,,
近7天新品,US,1732462213245538465,S260627019302,Muse Plus,大码女装,女士上装,3.7,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/5081976dbcf644f19d42d220c542bbe4~tplv-g9dfdl17fc-origin-image.image,2026/6/27,内容场占比低,高GPM,47,10,,https://shop.tiktok.com/view/product/1732462213245538465?region=US&locale=en,11.05,,,
近7天新品,US,1732462414829752481,S260627025064,Muse Plus,大码女装,女士上装,3.7,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/d1bd6f051f9f45df8d9598f039aaefb0~tplv-g9dfdl17fc-origin-image.image,2026/6/27,内容场占比低,高GPM,50,11,,https://shop.tiktok.com/view/product/1732462414829752481?region=US&locale=en,9.12,,,
近7天新品,US,1732399547325322219,S260515018720,Ailiyah,大码女装,女士连衣裙,3.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/cf2c189c417012a8bcb5aea283d5ebda~tplv-g9dfdl17fc-origin-image.image,2026/6/25,内容场占比低,,36,12,,https://shop.tiktok.com/view/product/1732399547325322219?region=US&locale=en,8.26,,,
近7天新品,US,1732446616063480519,S260617004504,Essence Perform,大码女装,女士下装,3.8,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/e9e8994767e74a22b9d0379e0d4a787f~tplv-g9dfdl17fc-origin-image.image,2026/6/25,内容场占比低,高GPM,35,13,,https://shop.tiktok.com/view/product/1732446616063480519?region=US&locale=en,7.06,,,
近7天新品,US,1732459181222629617,S260625030421,Miss Zone,大码女装,女士连衣裙,3.9,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/280934bfde0e4b079861cf0c7eadd5bc~tplv-g9dfdl17fc-origin-image.image,2026/6/25,内容场占比低,,66,14,,https://shop.tiktok.com/view/product/1732459181222629617?region=US&locale=en,19.92,,,
近7天新品,US,1732455429218931516,S260623019434,AIWEIEN Plus Size,大码女装,女士连衣裙,4.3,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/cd0976ff65ce4862a91d6c6d8c3578da~tplv-g9dfdl17fc-origin-image.image,2026/6/25,内容场占比低,,13,15,,https://shop.tiktok.com/view/product/1732455429218931516?region=US&locale=en,10.87,,,
近7天新品,US,1732461199721796013,S260626029841,ZZSC jeans,大码女装,牛仔,4.4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/6b717754459b4018837452de96693bdc~tplv-g9dfdl17fc-origin-image.image,2026/6/26,内容场占比低,高GPM,9,16,,https://shop.tiktok.com/view/product/1732461199721796013?region=US&locale=en,26.39,,,
